,Organisation Code,Name,Full Address,Postcode,Contact Telephone Number,Latitude,Longitude
0,D81001,Lensfield Medical Practice,"48 Lensfield Road, Cambridge, Cambridgeshire, CB2 1EH",CB2 1EH,01223 651020,52.1984317,0.1244819
1,D81002,Huntingdon Road Surgery,"1 Huntingdon Road, Cambridge,  CB3 0DB",CB3 0DB,01223 364127,52.2142713,0.11000216666666668
2,D81003,York Street Medical Practice,"146-148 York Street, Cambridge, Cambridgeshire, CB1 2PY",CB1 2PY,01223 364116,52.2054219292683,0.14153504512195123
3,D81005,Newnham Walk Surgery,"Wordsworth Grove, Cambridge, Cambridgeshire, CB3 9HS",CB3 9HS,01223 366811,52.1993547,0.1105268
4,D81012,Cornford House Surgery,"364 Cherry Hinton Road, Cambridge, Cambridgeshire, CB1 8BA",CB1 8BA,01223 247505,52.18593754230769,0.15711096923076923
5,D81013,Trumpington Street Medical Practice,"56 Trumpington Street, Cambridge, Cambridgeshire, CB2 1RG",CB2 1RG,01223 361611,52.20246166666667,0.11794156666666668
6,D81014,Staploe Medical Centre,"Brewhouse Lane, Soham, Ely, Cambridgeshire, CB7 5JD",CB7 5JD,01353 624123,52.3351968,0.341952
7,D81016,Arbury Road Surgery,"114 Arbury Road, Cambridge, Cambridgeshire, CB4 2JG",CB4 2JG,01223 364433,52.2258218,0.1281393
8,D81017,Mill Road Surgery,"Cambridge, Cambridgeshire,  CB1 3DG",CB1 3DG,01223 247812,52.1971563,0.150585
9,D81021,St. George'S Medical Centre,"Parsons Lane,Littleport, Ely, Cambridgeshire, CB6 1JU",CB6 1JU,01353 864100,52.458374425,0.30042055
10,D81025,Cherry Hinton Medical Centre,"34 Fishers Lane, Cherry Hinton, Cambridge, CB1 9HR",CB1 9HR,01223 652221,52.1875837195122,0.17769344146341462
11,D81028,Firs House Surgery,"Station Road, Histon, Cambridge,  CB24 9NP",CB24 9NP,01223 234286,52.24659135,0.109233925
12,D81033,Over Surgery,"1 Drings Close, Over, Cambridge,  CB24 5NZ",CB24 5NZ,01954 231550,52.314961960000005,0.01243462
13,D81034,St Mary'S Surgery,"Lynn Road, Ely, Cambridgeshire, CB6 1DN",CB6 1DN,01353 663434,52.4131567,0.27565703333333336
