,Organisation Code,Name,Full Address,Postcode,Contact Telephone Number,Latitude,Longitude
0,D81001,Lensfield Medical Practice,"48 Lensfield Road, Cambridge, Cambridgeshire, CB2 1EH",CB2 1EH,01223 651020,52.198431799999994,0.12448199457235815
1,D81002,Huntingdon Road Surgery,"1 Huntingdon Road, Cambridge,  CB3 0DB",CB3 0DB,01223 364127,52.21427136666667,0.1100022428530129
2,D81003,York Street Medical Practice,"146-148 York Street, Cambridge, Cambridgeshire, CB1 2PY",CB1 2PY,01223 364116,52.20542264268294,0.141534333101005
3,D81005,Newnham Walk Surgery,"Wordsworth Grove, Cambridge, Cambridgeshire, CB3 9HS",CB3 9HS,01223 366811,52.19935475,0.11052680586324559
4,D81012,Cornford House Surgery,"364 Cherry Hinton Road, Cambridge, Cambridgeshire, CB1 8BA",CB1 8BA,01223 247505,52.185937571153836,0.15711101319864307
5,D81013,Trumpington Street Medical Practice,"56 Trumpington Street, Cambridge, Cambridgeshire, CB2 1RG",CB2 1RG,01223 361611,52.20246169166666,0.11794158575634069
6,D81016,Arbury Road Surgery,"114 Arbury Road, Cambridge, Cambridgeshire, CB4 2JG",CB4 2JG,01223 364433,52.22582185,0.1281393499999941
7,D81017,Mill Road Surgery,"Cambridge, Cambridgeshire,  CB1 3DG",CB1 3DG,01223 247812,52.1971563,0.150585
8,D81025,Cherry Hinton Medical Centre,"34 Fishers Lane, Cherry Hinton, Cambridge, CB1 9HR",CB1 9HR,01223 652221,52.18759842124166,0.17769211795592782
9,D81037,Bridge Street Medical Centre,"Passage,Off Bridge St, Cambridge,  CB2 3LS",CB2 3LS,01223 652671,52.20774177999999,0.11885366
10,D81044,Nuffield Road Medical Centre,"Nuffield Road, Cambridge, Cambridgeshire, CB4 1GL",CB4 1GL,01223 423424,52.225275209756106,0.1527564632504133
11,D81054,Red House Surgery,"96 Chesterton Road, Cambridge, Cambridgeshire, CB4 1ER",CB4 1ER,01223 365555,52.214954812500004,0.12931990183439798
12,D81056,Petersfield Medical Practice,"25 Mill Road, Cambridge, Cambridgeshire, CB1 2AB",CB1 2AB,01223 350647,52.20146851666667,0.13389210833333334
13,D81066,Queen Edith Medical Practice,"59 Queen Edith'S Way, Cambridge,  CB1 8PJ",CB1 8PJ,01223 247288,52.17974306666667,0.15097897341909894
14,D81070,Woodlands Surgery,"48-49 Bateman Street, Cambridge, Cambridgeshire, CB2 1LR",CB2 1LR,01223 697600,52.195301834999995,0.12833309296843043
15,D81086,East Barnwell Health Centre,"Ditton Lane, Cambridge, Cambridgeshire, CB5 8SP",CB5 8SP,01223 728900,52.213980975,0.1672527852215487
16,Y00056,Cambridge Access Surgery,"125 Newmarket Road, Cambridge, Cambridgeshire, CB5 8HB",CB5 8HB,01223 358961,52.2087054,0.1386611
