Organisation Code,Name,Address,Contact Telephone Number,Number of patients registered at the GP practice,Latitude,Longitude,GP Patient Number Quintile
E83003,Oakleigh Road Health Centre,"Oakleigh Road Health Ctr, 280 Oakleigh Road North, Whetstone, London, N20 0DH",020 83613638,5994,51.62433925000001,-0.1590519744409339,3
E83005,Lichfield Grove Surgery,"64 Lichfield Grove, Finchley, London, N3 2JP",020 83463123,12102,51.59956346234251,-0.1932449199136519,5
E83006,Greenfield Medical Centre,"Greenfield Medical Centre, 143-145 Cricklewood Lane, Cricklewood, London, NW2 1HS",020 84505454,18911,51.56102486538271,-0.2057228949947389,5
E83007,Squires Lane Medical Practice,"2 Squires Lane, Finchley, London, N3 2AU",020 83463388,10568,51.60249166317472,-0.1749361749019092,4
E83008,Heathfielde Medical Centre,"Heathfielde Medical Ctr, Lyttleton Road, Finchley, Barnet, London, N2 0EQ",020 84589262,4493,51.58523769560618,-0.1797971332671109,2
E83009,Phgh Doctors,"Temple Fortune Health Ctr, 23 Temple Fortune Lane, Golders Green, London, NW11 7TE",020 82092400,26709,51.58104346002451,-0.1977708386034647,5
E83010,The Speedwell Practice,"The Speedwell Practice, The Hth Ctr,Torrington Pk, North Finchley, London, N12 9SS",020 84457587,8083,51.61712932330187,-0.1749327643632308,3
E83011,The Everglade Medical Practice,"Grahame Park Health Ctr., The Concourse, Grahame Park Estate, Colindale, London, NW9 5XT",020 84328641,6261,51.601577825421636,-0.2442098752903148,3
E83012,The Old Court House Surgery,"The Old Court House, 27 Wood Street, Barnet, Hertfordshire, EN5 4BB",020 84492388,12781,51.65289896199811,-0.2015911080043926,5
E83013,Cornwall House Surgery,"Cornwall House Surgery, Cornwall House, Cornwall Avenue, Finchley,London, N3 1LD",020 83461976,6920,51.60484484601807,-0.1899304711578778,3
E83016,Millway Medical Practice,"Millway Medical Practice, 2 Hartley Avenue, Mill Hill, London, NW7 2HX",020 89590888,7048,51.61556147579094,-0.24400334575297106,3
E83017,Longrove Surgery,"Vale Drive Primary C/Ctr, Barnet, Hertfordshire, EN5 2ED",020 83706660,8065,51.64882395343235,-0.1947673248651128,3
E83018,Watling Medical Centre,"Watling Medical Centre, 108 Watling Ave,Burnt Oak, Edgware, Middlesex, HA8 0NR",020 89061711,11936,51.60329064701824,-0.2620209514799359,5
E83020,St. Georges Medical Centre,"St.Georges Medical Centre, 7 Sunningfields Road, Hendon, London, NW4 4QR",020 82026232,10077,51.59160046810207,-0.2258908829450643,4
E83021,Torrington Park Group Practice,"Torrington Park Hlth Ctr., 16 Torrington Park, North Finchley, London, N12 9SS",020 36675030,4994,51.61712932330187,-0.1749327643632308,2
E83024,St Andrews Medical Practice.,"St Andrews Medical Pract., 50 Oakleigh Road North, Whetstone, London, N20 9EX",020 84450475,8916,51.630138071832626,-0.1723797273601874,4
E83025,Pennine Drive Practice,"8 Pennine Drive, Hendon, London, NW2 1PA",020 84559977,3408,51.568474224124785,-0.2089071055545628,1
E83026,Supreme Medical Centre,"Ground Floor, Supreme House, 300 Regents Park Road, Finchley, London, N3 2JX",020 83463291,18891,51.5994525284017,-0.1953863288055307,5
E83027,The Practice At 188,"188 Golders Green Road, Golders Green, London, NW11 9AY",020 82986498,2722,51.576421648397954,-0.2046692161391831,1
E83028,Parkview Surgery,"36 Cressingham Road, Edgware, Middlesex, HA8 0RW",020 89067980,9705,51.6069730282512,-0.2574756772406593,4
E83030,Penshurst Gardens Surgery,"39 Penshurst Gardens, Edgware, Middlesex, HA8 9TN",020 89583141,10151,51.61612895677053,-0.2728116472488108,4
E83031,The Village Surgery,"113 East Barnet Road, Barnet, Hertfordshire, EN4 8RF",020 84496443,2356,51.648556044140854,-0.1685558173288109,1
E83032,Oak Lodge Medical Centre,"Oak Lodge Medical Centre, 234 Burnt Oak Broadway, Edgware, Middlesex, HA8 0AP",020 89521202,5855,51.603679593188254,-0.2706992477495665,2
E83034,Colney Hatch Lane Surgery,"192 Colney Hatch Lane, Muswell Hill, London, N10 1ET",020 88835555,5586,51.60073065652502,-0.1475547670224563,2
E83035,Wentworth Medical Practice.,"Wentworth Medical Pract., 38 Wentworth Avenue, Finchley Central, London, N3 1YL",020 83461242,6055,51.60774537334018,-0.1879232237226305,3
E83037,Derwent Crescent Medical Centre,"Derwent Crescent Med Ctr, 20 Derwent Crescent, Whetstone, London, N20 0QQ",020 84460171,51863,51.62290848492367,-0.1752850934086994,5
E83038,Jai Medical Centre,"114 Edgwarebury Lane, Edgware, Middlesex, HA8 8NB",03000 337861,6011,51.62204339383072,-0.2775421496035462,3
E83039,Ravenscroft Medical Centre,"Ravenscroft Medical Ctr, 166-168 Golders Green Rd, Golders Green, London, NW11 8BB",020 84552477,7042,51.57517769854452,-0.2025818053021498,3
E83041,Wakemans Hill Surgery,"Wakemans Hill Surgery, 1 Wakemans Hill Avenue, Colindale, London, NW9 0TA",020 82052336,6036,51.58708756098796,-0.2542091775062646,3
E83044,Addington Medical Centre,"Addington Medical Centre, 46 Station Road, New Barnet, Hertfordshire, EN5 1QH",020 84414425,3654,51.64965777348448,-0.176841994300828,1
E83045,Friern Barnet Medical Centre,"15/16 St Johns Villas, Friern Barnet Road, London, N11 3BU",020 83681707,2115,51.61327194920178,-0.15592708328214802,1
E83046,Mulberry Medical Practice,"3 Sefton Avenue, Mill Hill, London, NW7 3QB",020 89591868,7224,51.61486119307309,-0.2600335060144056,3
E83049,Langstone Way Surgery,"28 Langstone Way, Mill Hill, London, NW7 1GR",020 83432401,5412,51.6069814786374,-0.2108147096401214,2
E83050,East Finchley Medical Centre,"East Finchley Med Ctr, 39 Baronsmere Road, East Finchley, London, N2 9QD",020 88831458,5375,51.588121411126394,-0.1628787506165806,2
E83053,Lane End Medical Group,"Lane End Medical Group, 2 Penshurst Gardens, Edgware, Middlesex, HA8 9GJ",020 89584233,2291,51.615286915775,-0.2748657887598469,1
E83600,Adler Js-The Surgery,"682 Finchley Road, Golders Green, London, NW11 7NP",020 84559994,1729,51.575074155006114,-0.1959623991454211,1
E83613,East Barnet Health Centre,"East Barnet Health Centre, 149 East Barnet Road, New Barnet, Hertfordshire, EN4 8QZ",020 84407417,1966,51.6463392560728,-0.1664235810203291,1
E83621,Brunswick Park Medical Practice,"Brunswick Park Health Ctr, Brunswick Park Road, New Southgate, London, N11 1EY",020 83681568,3947,51.6292445669182,-0.1492109378874136,1
E83622,Temple Fortune Medical Group,"Temple Fortune Health Ctr, 23 Temple Fortune Lane, London, NW11 7TE",020 84584431,3605,51.58104346002451,-0.1977708386034647,1
E83637,Colindale Medical Centre Lp,"61 Colindeep Lane, Colindale, London, NW9 6DJ",020 82056798,17253,51.59129882317377,-0.2495724057776714,5
E83638,The Mountfield Surgery,"The Mountfield Surgery, 55 Mountfield Road, Finchley, London, N3 3NR",020 83464271,14095,51.59500137286887,-0.1942200410000751,5
E83639,Rosemary Surgery,"Rosemary Surgery, 2 Rosemary Avenue, Finchley, London, N3 2QN",020 83461997,9228,51.59689631772413,-0.1841534889676363,4
E83649,The Hodford Road Practice,"73 Hodford Road, London, NW11 8NH",020 89055234,4491,51.56903786826474,-0.1993181498202438,2
