#DISRUP_ID LAYER STATION_A STATION_B FREQUENCY% DAMAGED_NODES%
DISR1 metropolitan aldgate bakerstreet 3.3457 2.439
DISR2 hammersmith&city barking moorgate 2.8914 3.523
DISR3 dlr beckton canningtown 2.5609 2.439
DISR4 overground claphamjunction surreyquays 2.024 1.897
DISR5 overground richmond willesdenjunction 1.9413 1.626
DISR6 northern edgware hampstead 1.8174 1.897
DISR7 piccadilly actontown uxbridge 1.5696 4.065
DISR8 overground claphamjunction willesdenjunction 1.5696 1.626
DISR9 piccadilly raynerslane uxbridge 1.5283 1.897
DISR10 overground newcross westcroydon 1.4457 2.981
DISR11 northern camdentown highbarnet 1.4457 2.981
DISR12 jubilee stanmore westhampstead 1.4044 2.71
DISR13 overground barking southtottenham 1.4044 2.168
DISR14 overground barking gospeloak 1.3631 3.252
DISR15 dlr bank shadwell 1.3631 0.542
DISR16 northern camdentown millhilleast 1.2805 2.168
DISR17 overground sydenham westcroydon 1.2392 1.355
DISR18 dlr bowchurch stratford 1.1979 0.813
DISR19 metropolitan northwood wembleypark 1.1565 2.168
DISR20 northern camdentown kennington 1.1565 2.71
DISR21 overground camdenroad richmond 1.1565 4.065
DISR22 overground highbury&islington newcross 1.1152 3.523
DISR23 district ealingbroadway turnhamgreen 1.1152 1.355
DISR24 metropolitan aldgate harrow-on-the-hill 1.1152 3.794
DISR25 overground richmond stratford 1.0739 6.2331
DISR26 metropolitan aldgate wembleypark 1.0739 2.981
DISR27 metropolitan uxbridge wembleypark 0.9913 3.252
DISR28 overground crystalpalace newcross 0.9913 2.168
DISR29 district putneybridge wimbledon 0.95 1.355
DISR30 metropolitan aldgate moorgate 0.9087 0.813
DISR31 overground gospeloak highbury&islington 0.9087 1.355
DISR32 district richmond turnhamgreen 0.9087 1.084
DISR33 district richmond westkensington 0.8261 2.439
DISR34 northern morden tootingbroadway 0.8261 1.084
DISR35 jubilee stanmore willesdengreen 0.7848 2.168
DISR36 northern colindale edgware 0.7435 0.813
DISR37 northern camdentown charingcross 0.7435 1.897
DISR38 victoria brixton victoria 0.7435 1.355
DISR39 overground gospeloak stratford 0.6609 2.981
DISR40 overground crystalpalace highbury&islington 0.6609 4.878
DISR41 district dagenhameast upminster 0.6196 1.355
DISR42 dlr beckton westferry 0.6196 3.523
DISR43 northern finchleycentral highbarnet 0.6196 1.355
DISR44 overground highbury&islington westcroydon 0.5783 5.6911
DISR45 hammersmith&city barking liverpoolstreet 0.5783 3.252
DISR46 northern archway highbarnet 0.5783 2.168
DISR47 overground crystalpalace sydenham 0.5783 0.542
DISR48 district ealingbroadway westkensington 0.537 2.71
DISR49 overground claphamjunction highbury&islington 0.537 4.607
DISR50 jubilee stanmore wembleypark 0.537 1.355
DISR51 overground stratford willesdenjunction 0.537 4.878
DISR52 northern archway millhilleast 0.537 1.355
DISR53 northern camdentown edgware 0.4957 2.71
DISR54 jubilee northgreenwich stratford 0.4957 1.084
DISR55 hammersmith&city barking plaistow 0.4957 1.084
DISR56 dlr poplar stratford 0.4957 1.897
DISR57 jubilee wembleypark willesdengreen 0.4957 1.084
DISR58 overground highbury&islington shadwell 0.4957 2.168
DISR59 piccadilly southharrow uxbridge 0.4544 2.168
DISR60 overground claphamjunction wandsworthroad 0.4544 0.542
DISR61 overground claphamjunction stratford 0.4544 5.9621
DISR62 dlr canarywharf stratford 0.4544 2.439
DISR65 overground richmond southacton 0.4131 1.084
DISR66 bakerloo harrow&wealdstone queenspark 0.4131 2.71
DISR67 dlr canarywharf towergateway 0.4131 1.626
DISR68 dlr bank canarywharf 0.4131 1.626
DISR69 metropolitan amersham rickmansworth 0.4131 1.084
DISR71 victoria sevensisters walthamstowcentral 0.3717 1.084
DISR72 dlr bank poplar 0.3717 1.355
DISR74 overground highbury&islington stratford 0.3717 1.897
DISR75 dlr poplar towergateway 0.3717 1.355
DISR76 piccadilly cockfosters oakwood 0.3717 0.542
DISR77 overground euston willesdenjunction 0.3717 1.626
DISR78 overground newcross surreyquays 0.3717 0.542
DISR79 piccadilly actontown raynerslane 0.3717 2.439
DISR80 district parsonsgreen wimbledon 0.3717 1.626
DISR81 district earlscourt wimbledon 0.3304 2.439
DISR82 dlr bank canningtown 0.3304 2.168
DISR83 dlr canningtown towergateway 0.3304 2.168
DISR84 bakerloo harrow&wealdstone stonebridgepark 0.3304 1.626
DISR85 metropolitan bakerstreet wembleypark 0.3304 0.813
DISR86 bakerloo elephant&castle queenspark 0.3304 4.336
DISR87 district barking upminster 0.3304 2.439
DISR88 northern edgware kennington 0.3304 5.1491
DISR89 metropolitan chalfont&latimer chesham 0.3304 0.542
DISR90 northern charingcross edgware 0.2891 4.336
DISR91 district bromley-by-bow upminster 0.2891 3.794
DISR92 district towerhill westham 0.2891 2.168
DISR94 district eastham upminster 0.2891 2.71
DISR95 district earlscourt richmond 0.2891 2.71
DISR96 dlr islandgardens westferry 0.2891 2.168
DISR97 piccadilly arnosgrove cockfosters 0.2891 1.084
DISR98 bakerloo paddington queenspark 0.2891 1.355
DISR99 overground gunnersbury richmond 0.2891 0.813
DISR100 northern morden stockwell 0.2891 2.71
DISR101 metropolitan chesham rickmansworth 0.2478 1.084
DISR102 metropolitan ruislip uxbridge 0.2478 1.084
DISR103 district mansionhouse whitechapel 0.2478 1.626
